127.0.0.1 - - [13/Jan/2019:20:01:43 +0100] "GET /carbon/admin/js/template.js HTTP/1.1" 200 3390 "https://localhost:9448/carbon/admin/login.jsp" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:43 +0100] "GET /carbon/yui/build/yahoo-dom-event/yahoo-dom-event.js HTTP/1.1" 200 10684 "https://localhost:9448/carbon/admin/login.jsp" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:43 +0100] "GET /carbon/yui/build/yahoo/yahoo-min.js HTTP/1.1" 200 2523 "https://localhost:9448/carbon/admin/login.jsp" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:43 +0100] "GET /carbon/yui/build/animation/animation-min.js HTTP/1.1" 200 4768 "https://localhost:9448/carbon/admin/login.jsp" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:43 +0100] "GET /carbon/yui/build/selector/selector-min.js HTTP/1.1" 200 2895 "https://localhost:9448/carbon/admin/login.jsp" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:43 +0100] "GET /carbon/admin/js/cookies.js HTTP/1.1" 200 1136 "https://localhost:9448/carbon/admin/login.jsp" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:43 +0100] "GET /carbon/admin/images/1px.gif HTTP/1.1" 200 43 "https://localhost:9448/carbon/admin/login.jsp" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:43 +0100] "GET /carbon/admin/images/forum.gif HTTP/1.1" 200 1977 "https://localhost:9448/carbon/admin/login.jsp" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:43 +0100] "GET /carbon/admin/images/mailing-list.gif HTTP/1.1" 200 2131 "https://localhost:9448/carbon/admin/login.jsp" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:43 +0100] "GET /carbon/admin/images/issue-tracker.gif HTTP/1.1" 200 1821 "https://localhost:9448/carbon/admin/login.jsp" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:43 +0100] "GET /carbon/admin/images/user-guide.gif HTTP/1.1" 200 2228 "https://localhost:9448/carbon/admin/login.jsp" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
